Time, Sex_ratio, Time-in, Tm, Tf, Gift, RejPr, Offs, N
85,0.522000,0.387000,0.160594,1.000000,0.057471,0.272457,738,1000
86,0.494000,0.362000,0.170889,1.000000,0.052632,0.252159,796,1000
87,0.502000,0.372000,0.163212,1.000000,0.057769,0.254962,726,1000
88,0.483000,0.355000,0.162703,1.000000,0.070393,0.231133,783,1000
89,0.494000,0.358000,0.171973,1.000000,0.060729,0.249137,820,1000
90,0.494000,0.365000,0.175322,1.000000,0.072874,0.240069,849,1000
91,0.502000,0.367000,0.165778,1.000000,0.075697,0.250372,795,1000
92,0.505000,0.383000,0.161242,1.000000,0.057426,0.259009,702,1000
93,0.480000,0.344000,0.163752,1.000000,0.083333,0.240122,769,1000
94,0.486000,0.353000,0.173728,1.000000,0.084362,0.251275,794,1000
95,0.481000,0.332000,0.174642,1.000000,0.089397,0.252053,879,1000
96,0.493000,0.355000,0.175632,1.000000,0.068966,0.255598,848,1000
97,0.475000,0.347000,0.172611,1.000000,0.073684,0.234456,773,1000
98,0.466000,0.347000,0.173677,1.000000,0.053648,0.214836,774,1000
99,0.504000,0.366000,0.173202,1.000000,0.055556,0.244646,802,1000
100,0.501000,0.372000,0.179391,1.000000,0.073852,0.240694,714,1000
101,0.512000,0.363000,0.185534,1.000000,0.078125,0.243683,870,1000
102,0.504000,0.362000,0.183573,1.000000,0.063492,0.251919,792,1000
103,0.504000,0.361000,0.187386,1.000000,0.069444,0.257652,820,1000
104,0.497000,0.373000,0.185737,1.000000,0.074447,0.276691,722,1000
105,0.489000,0.354000,0.187785,1.000000,0.067485,0.289990,863,1000
106,0.477000,0.327000,0.191172,1.000000,0.085954,0.271249,866,1000
107,0.478000,0.326000,0.188677,1.000000,0.071130,0.274221,916,1000
108,0.490000,0.356000,0.186986,1.000000,0.071429,0.274813,785,1000
109,0.470000,0.338000,0.184172,1.000000,0.078723,0.269574,842,1000
110,0.476000,0.344000,0.182886,1.000000,0.065126,0.269922,899,1000
111,0.509000,0.376000,0.181969,1.000000,0.070727,0.286388,798,1000
112,0.510000,0.377000,0.173503,1.000000,0.080392,0.286764,781,1000
113,0.502000,0.363000,0.172958,1.000000,0.067729,0.277418,863,1000
114,0.481000,0.352000,0.168392,1.000000,0.064449,0.273516,842,1000
115,0.503000,0.382000,0.158616,1.000000,0.063618,0.281114,821,1000
116,0.509000,0.379000,0.156517,1.000000,0.062868,0.276496,839,1000
117,0.523000,0.400000,0.169113,1.000000,0.072658,0.294194,718,1000
118,0.524000,0.400000,0.164754,1.000000,0.061069,0.290699,674,1000
119,0.510000,0.354000,0.166476,1.000000,0.078431,0.294867,902,1000
120,0.495000,0.353000,0.166245,1.000000,0.082828,0.274082,883,1000
121,0.489000,0.365000,0.159471,1.000000,0.071575,0.266231,831,1000
122,0.492000,0.365000,0.165314,1.000000,0.054878,0.269808,729,1000
123,0.487000,0.337000,0.159920,1.000000,0.075975,0.255038,825,1000
124,0.504000,0.355000,0.165049,1.000000,0.079365,0.263463,909,1000
125,0.483000,0.343000,0.163758,1.000000,0.057971,0.265468,849,1000
126,0.508000,0.363000,0.159874,1.000000,0.078740,0.284388,905,1000
127,0.508000,0.369000,0.158534,1.000000,0.061024,0.284324,809,1000
128,0.483000,0.359000,0.159434,1.000000,0.064182,0.265767,812,1000
129,0.496000,0.384000,0.157441,1.000000,0.052419,0.283019,666,1000
130,0.507028,0.389558,0.146609,1.000000,0.045545,0.276578,710,996
131,0.514000,0.375000,0.148758,1.000000,0.060311,0.285548,760,1000
132,0.497000,0.375000,0.148480,1.000000,0.068410,0.271744,816,1000
133,0.511000,0.372000,0.144369,1.000000,0.050881,0.280237,865,1000
134,0.506000,0.382000,0.156071,1.000000,0.045455,0.286111,795,1000
135,0.537000,0.419000,0.150289,1.000000,0.044693,0.304056,699,1000
136,0.517000,0.387000,0.155461,1.000000,0.059961,0.290450,792,1000
137,0.504000,0.368000,0.156038,1.000000,0.045635,0.268836,818,1000
138,0.498000,0.365000,0.149510,1.000000,0.056225,0.260947,723,1000
139,0.504000,0.367000,0.151484,1.000000,0.067460,0.273340,826,1000
140,0.532000,0.394000,0.146384,1.000000,0.078947,0.269445,797,1000
141,0.527000,0.378000,0.145781,1.000000,0.070209,0.271627,979,1000
142,0.531000,0.412000,0.145471,1.000000,0.058380,0.277025,711,1000
143,0.509000,0.377000,0.155503,1.000000,0.064833,0.269973,816,1000
144,0.511000,0.375000,0.159278,1.000000,0.043053,0.266958,764,1000
145,0.512000,0.377000,0.159304,1.000000,0.062500,0.269129,749,1000
146,0.515000,0.382000,0.166106,1.000000,0.077670,0.268920,790,1000
147,0.522000,0.404000,0.169979,1.000000,0.051724,0.293135,669,1000
